We,Oh,Bo
0.000832891690713479,0.015188352468351,0.0189312135804878
0.000722853470242493,0,0.0189312135804878
0.00129781227471542,0.0777777777777778,0.0189312135804878
0.00204917727586645,0.155555555555556,0.0189312135804878
0.0029843374831342,0.233333333333333,0.0189312135804878
0.00415363403425305,0.311111111111111,0.0189312135804878
0.00589936428053332,0.388888888888889,0.0189312135804878
0.00789023703972928,0.466666666666667,0.0189312135804878
0.0103818908417491,0.544444444444444,0.0189312135804878
0.0135656706998854,0.622222222222222,0.0189312135804878
0.0175070890437764,0.7,0.0189312135804878
